rm -f pdml format.o zeek_csv.o
gcc -Wall -c format.c
gcc -Wall -c zeek_csv.c
gcc -Wall -o pdml format.o zeek_csv.o
[./tests/conn.log] Zeek log file being established... (0)
[./tests/conn.log]: Connection Established!
[./tests/conn.log]: #separator \x09
[./tests/conn.log]: 1760666818.040532,C7vLQp2FKatBrf3xi6,172.29.147.79,48386,140.82.114.6,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666820.026167,Cp9Vbl2qkWCORsEaug,172.29.147.79,40698,20.189.173.27,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666822.294764,CreGOC3790WlmWjAFi,172.29.147.79,57602,13.69.239.78,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666824.487716,CnOJCL34PpVfITjtMd,172.29.147.79,40702,20.189.173.27,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666820.096870,CWIlKj3TA1gpVkA3w2,172.29.147.79,40698,20.189.173.27,443,tcp,-,0.370378,0,5158,SHR,T,F,0,^hCadCf,0,0,15,5946,-,6
[./tests/conn.log]: 1760666826.562934,C7yOOo2p2ph14KfoAb,172.29.147.79,57672,20.189.173.18,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666822.404301,Cfb1CG4OUEVP2kj3jl,172.29.147.79,57602,13.69.239.78,443,tcp,-,0.548063,0,5156,SHR,T,F,0,^hCdaCf,0,0,14,5892,-,6
[./tests/conn.log]: 1760666818.020948,C0Uf1kzAnoWZx0jo,172.29.147.79,46168,8.8.8.8,53,udp,dns,0.019422,0,145,SHR,T,F,0,Cd,0,0,2,201,-,17
[./tests/conn.log]: 1760666828.805254,Cr6d3y1IRaYApuTyVg,172.29.147.79,43954,20.189.173.10,443,tcp,-,-,-,-,OTH,T,F,0,C,0,0,0,0,-,6
[./tests/conn.log]: 1760666820.005292,COCbrXMFd7ptBepb9,172.29.147.79,48838,8.8.8.8,53,udp,dns,0.020686,0,384,SHR,T,F,0,Cd,0,0,2,440,-,17
